username,platform,followers,project_ids,source_repo_count,source_repo_stars,most_recent_push,repos_active_last_year
google-ai-edge,github,,1,11,57854,2026-03-14,10
revmischa,github,325,2,123,885,2026-03-14,5
Pramzie,github,36,3,12,80,2026-03-10,11
jo0707,github,666,4,46,131,2026-03-09,17
itsmadson,github,50,5,32,34,2026-01-04,12
ezraamanoe,github,0,6,5,3,2026-02-03,3
NathanKneT,github,14,7,14,32,2025-12-05,9
Shubhangam-Singh,github,9,8,14,16,2026-03-14,13
kaleprabhat24,github,1,9,15,8,2026-03-14,15
erikparr,github,7,10,24,0,2026-02-24,11
runwithscissor,github,2,11,1,4,2025-03-31,1
paigecaskey,github,3,12,12,4,2026-03-08,4
ivan-telepop,github,9,13,23,6,2026-02-27,14
languel,github,2,14,11,0,2026-02-18,7
youngpietro,github,0,15,2,0,2026-03-14,2
BaselJayyusi,github,0,16,4,0,2025-10-01,1
Samiddha024,github,2,17,18,0,2025-10-27,12
simonreitinger,github,18,18,10,40,2025-10-12,3
instrumentbible,github,3,19,10,76,2024-12-12,0
froehlicht,github,1,20,2,27,2025-12-04,2
JuliaMusic,github,73,21,13,499,2026-01-15,2
carlosmbe,github,25,22,41,72,2026-03-07,11
bernatcs,github,0,23,11,3,2026-01-19,3
ejfox,github,115,gl-1,142,183,2026-03-05,63
to7m,gitlab,,gl-2,,,,
unlessgames,gitlab,,gl-3,,,,
monlim,github,28,"24,24b",15,92,2026-03-13,2
heaversm,github,131,25,136,545,2026-03-12,7
aliabbasnagari,github,18,26,30,49,2026-01-25,8
johnowhitaker,github,501,27,81,809,2026-03-13,23
olavolav,github,51,28,18,496,2026-01-04,3
akx,github,491,29,403,1316,2026-03-06,53
Wendell00,github,18,30,26,9,2026-01-20,2
cherrysalice32-arch,github,0,31,1,0,2026-03-13,1
yewon-yun,github,1,32,3,0,2026-03-10,3
JonathanSContreras,github,19,33,16,1,2026-03-09,12
Orjikeyz,github,0,34,11,0,2026-03-13,11
cryst4lpepsi,github,1,35,1,0,2026-02-18,1
DiesIrae2807,github,2,36,1,0,2025-12-06,1
Lanceliogs,github,0,37,6,0,2026-03-08,2
BornToDieee1029,github,0,38,2,2,2025-11-11,2
gyfooya,github,0,39,12,0,2026-03-06,12
amelie-schepping,github,0,40,7,1,2026-01-29,6
